ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source
1295,Southeast,South Carolina,1964,Total cropland,3706,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1296,Southeast,Georgia,1964,Total cropland,6381,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1297,Southeast,Florida,1964,Total cropland,3582,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1298,Southeast,Alabama,1964,Total cropland,5211,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1299,Delta States total,Delta States,1964,Total cropland,20238,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1300,Delta States,Mississippi,1964,Total cropland,6655,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1301,Delta States,Arkansas,1964,Total cropland,8571,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1302,Delta States,Louisiana,1964,Total cropland,5012,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1303,Southern Plains total,Southern Plains,1964,Total cropland,49446,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1304,Southern Plains,Oklahoma,1964,Total cropland,13540,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1305,Southern Plains,Texas,1964,Total cropland,35906,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1306,Mountain total,Mountain,1964,Total cropland,43167,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1307,Mountain,Montana,1964,Total cropland,15661,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1308,Mountain,Idaho,1964,Total cropland,5982,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1309,Mountain,Wyoming,1964,Total cropland,2836,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1310,Mountain,Colorado,1964,Total cropland,11341,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1311,Mountain,New Mexico,1964,Total cropland,2554,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1312,Mountain,Arizona,1964,Total cropland,1669,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1313,Mountain,Utah,1964,Total cropland,2288,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1314,Mountain,Nevada,1964,Total cropland,836,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1315,Pacific total,Pacific,1964,Total cropland,25451,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1316,Pacific,Washington,1964,Total cropland,8185,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1317,Pacific,Oregon,1964,Total cropland,5425,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1318,Pacific,California,1964,Total cropland,11841,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1319,48 States,48 States,1964,Total cropland,443801,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1320,AK and HI,Alaska,1964,Total cropland,24,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1321,AK and HI,Hawaii,1964,Total cropland,371,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1322,U.S. total,U.S. total,1964,Total cropland,444196,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1323,Northeast total,Northeast,1969,Total cropland,17853,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1324,Northeast,Maine,1969,Total cropland,735,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1325,Northeast,New Hampshire,1969,Total cropland,198,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1326,Northeast,Vermont,1969,Total cropland,867,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1327,Northeast,Massachusetts,1969,Total cropland,288,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1328,Northeast,Rhode Island,1969,Total cropland,32,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1329,Northeast,Connecticut,1969,Total cropland,252,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1330,Northeast,New York,1969,Total cropland,6276,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1331,Northeast,New Jersey,1969,Total cropland,713,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1332,Northeast,Pennsylvania,1969,Total cropland,6065,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1333,Northeast,Delaware,1969,Total cropland,533,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1334,Northeast,Maryland,1969,Total cropland,1894,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1335,Northeast,District of Columbia,1969,Total cropland,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1336,Lake States total,Lake States,1969,Total cropland,44332,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1337,Lake States,Michigan,1969,Total cropland,8682,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1338,Lake States,Wisconsin,1969,Total cropland,12270,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1339,Lake States,Minnesota,1969,Total cropland,23380,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1340,Corn Belt total,Corn Belt,1969,Total cropland,101969,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1341,Corn Belt,Ohio,1969,Total cropland,12584,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1342,Corn Belt,Indiana,1969,Total cropland,14071,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1343,Corn Belt,Illinois,1969,Total cropland,25466,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1344,Corn Belt,Iowa,1969,Total cropland,28398,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1345,Corn Belt,Missouri,1969,Total cropland,21450,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1346,Northern Plains total,Northern Plains,1969,Total cropland,107237,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1347,Northern Plains,North Dakota,1969,Total cropland,30187,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1348,Northern Plains,South Dakota,1969,Total cropland,20844,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1349,Northern Plains,Nebraska,1969,Total cropland,23379,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1350,Northern Plains,Kansas,1969,Total cropland,32827,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1351,Appalachian total,Appalachian,1969,Total cropland,31630,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1352,Appalachian,Virginia,1969,Total cropland,4925,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1353,Appalachian,West Virginia,1969,Total cropland,1763,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1354,Appalachian,North Carolina,1969,Total cropland,6480,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1355,Appalachian,Kentucky,1969,Total cropland,9810,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1356,Appalachian,Tennessee,1969,Total cropland,8652,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1357,Southeast total,Southeast,1969,Total cropland,20424,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1358,Southeast,South Carolina,1969,Total cropland,3663,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1359,Southeast,Georgia,1969,Total cropland,7103,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1360,Southeast,Florida,1969,Total cropland,3773,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1361,Southeast,Alabama,1969,Total cropland,5885,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1362,Delta States total,Delta States,1969,Total cropland,24558,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1363,Delta States,Mississippi,1969,Total cropland,8394,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1364,Delta States,Arkansas,1969,Total cropland,10202,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1365,Delta States,Louisiana,1969,Total cropland,5962,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1366,Southern Plains total,Southern Plains,1969,Total cropland,56043,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1367,Southern Plains,Oklahoma,1969,Total cropland,16036,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1368,Southern Plains,Texas,1969,Total cropland,40007,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1369,Mountain total,Mountain,1969,Total cropland,43359,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1370,Mountain,Montana,1969,Total cropland,16493,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1371,Mountain,Idaho,1969,Total cropland,6166,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1372,Mountain,Wyoming,1969,Total cropland,2813,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1373,Mountain,Colorado,1969,Total cropland,11105,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1374,Mountain,New Mexico,1969,Total cropland,2351,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1375,Mountain,Arizona,1969,Total cropland,1665,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1376,Mountain,Utah,1969,Total cropland,1983,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1377,Mountain,Nevada,1969,Total cropland,783,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1378,Pacific total,Pacific,1969,Total cropland,24302,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1379,Pacific,Washington,1969,Total cropland,8278,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1380,Pacific,Oregon,1969,Total cropland,5145,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1381,Pacific,California,1969,Total cropland,10879,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1382,48 States,48 States,1969,Total cropland,471707,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1383,AK and HI,Alaska,1969,Total cropland,18,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1384,AK and HI,Hawaii,1969,Total cropland,372,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1385,U.S. total,U.S. total,1969,Total cropland,472097,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1386,Northeast total,Northeast,1974,Total cropland,17334,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1387,Northeast,Maine,1974,Total cropland,653,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1388,Northeast,New Hampshire,1974,Total cropland,174,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1389,Northeast,Vermont,1974,Total cropland,812,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1390,Northeast,Massachusetts,1974,Total cropland,264,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1391,Northeast,Rhode Island,1974,Total cropland,29,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1392,Northeast,Connecticut,1974,Total cropland,234,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1393,Northeast,New York,1974,Total cropland,6085,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1394,Northeast,New Jersey,1974,Total cropland,714,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1395,Northeast,Pennsylvania,1974,Total cropland,5930,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1396,Northeast,Delaware,1974,Total cropland,546,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1397,Northeast,Maryland,1974,Total cropland,1893,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1398,Northeast,District of Columbia,1974,Total cropland,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
